tweetId,tweetText
1592010245957898241,"Ozzie
@OzzieR89
Like THE Brian Silva? The semi famous local one? If so, he's white and doesn't fit the description.
8:23 PM · Nov 13, 2022"
1592546412130357251,"Brian Lenzkes, MD
@BrianLenzkes
2/2) Healthcare workers w/ natural immunity have been fired. Those in training w/ natural immunity cannot do rotations. We had better figure this out very quickly. The lives of our families & friends depend on it. Experience matters in medicine. Critical thinking will save lives
7:53 AM · Nov 15, 2022"
1592687094278733824,"The White House
@WhiteHouse
- Created 10 million jobs
- Created 700,000 new manufacturing jobs
- Gave Medicare the power to negotiate prescription drug costs
- Capped out-of-pocket prescription drug costs at $2,000 a year for seniors
5:12 PM · Nov 15, 2022"
1592914986183331840,"Lisa Bloom
@LisaBloom
Let’s talk about the legal problems Elon just created for himself with this cruel new staff email.

You’re fired if you don’t commit to long hours at high intensity within 24 hours?

Let’s start with disabled workers.
8:18 AM · Nov 16, 2022"
1594011365739737088,"Matthew Chapman
@fawfulfan
This story is stunning.

In short: Alito himself leaked the Dobbs decision, and not only that, he's leaked his own opinions before, to right-wing litigants, so they could wine and dine other justices, and donate to their causes, to secure their vote.
nytimes.com
Former Anti-Abortion Leader Alleges Another Supreme Court Breach
Years before the leaked draft opinion overturning Roe v. Wade, a landmark contraception ruling was disclosed, according to a minister who led a secretive effort to influence justices.
Readers added context they thought people might want to know
The article, taken at its face value, neither states Alito leaked the Dobbs decision, nor that there was a quid pro quo involving ""securing their votes"".

nytimes.com/2022/11/19/us/…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
8:54 AM · Nov 19, 2022"
1593770866457853957,"Casey Newton
@CaseyNewton
Multiple ex-Twitter sources telling me that Robin Wheeler, the sales leader who Musk begged to stay at the company days ago when she tried to resign, has now been fired
Readers added context they thought people might want to know
On Nov 18th Robin Wheeler verified her departure via a Tweet from her personal account: twitter.com/robinw/status/…

Multiple news outlets have reported on this as a firing, sourcing from multiple “insiders” who disclosed those details to the media.

businessinsider.com/elon-musk-fire…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
4:59 PM · Nov 18, 2022"
1593115059819274240,"Jeremy Loffredo
@loffredojeremy
Next week the New York Times in partnership with WEF partner Accenture is supposed to be hosting a live event with Sam Bankman-Fried. Sitting next to him will be Zelensky, Zuckerberg and U.S. Treasury's Janet Yellen.
9:33 PM · Nov 16, 2022"
1594876689762652161,"Eric Matheny
@ericmmatheny
Watch DIED SUDDENLY
DiedSuddenly
@DiedSuddenly_
#DiedSuddenly WORLD PREMIER
6:13 PM · Nov 21, 2022"
1594966718551662593,"James Freeman
@james_freeman__
'Died Suddenly' just premiered; everyone needs to watch this film!

We need to stop this vaccine programme!

Watch here for free: https://rumble.com/v1wac7i-world-premier-died-suddenly.html…
12:11 AM · Nov 22, 2022"
1594863103270948865,"The White Rabbit Podcast
@AllBiteNoBark88
WORLD PREMIERE
""Died Suddenly""
FULL Movie
rumble.com
World Premiere: Died Suddenly
Why do we never believe them? For centuries, the global elite have broadcast their intentions to depopulate the world - even to the point of carving them into stone. And yet… we never seem to believe
5:19 PM · Nov 21, 2022"
1593442446456791041,"Craig Voss
@Craig1454
Hi kids! Im myocarditis, a growing cause of death among covid vaccinated people...you may know me by my less scientific cover up name: ""died suddenly""
7:14 PM · Nov 17, 2022"
1594873301012209664,"The White House
@WhiteHouse
The Biden-Harris Administration lowered the deficit with the single largest one-year reduction in American history.
Readers added context they thought people might want to know
COVID-driven deficits in both FY20 & 21 were roughly double the previous record (09), making the drop to FY22 sizeable.

But the FY22 deficit is still the 4th largest in history and is 41% larger than FY19. 

fiscaldata.treasury.gov/americas-finan…
Context is written by people who use X, and appears when rated helpful by others.  Find out more.
6:00 PM · Nov 21, 2022"
1595098682084524034,"Tim Pool
@Timcast
the grooming of children is not stopping

people are calling for more violence

I do not think legislators will stop the grooming

People will not stop calling for violence

so you tell me what happens next
8:55 AM · Nov 22, 2022"
